item_instance_id,template_id,counterbalance,base_context,physical_subcategory,required_components,provided_components,novelty,causal_type,causal_direction,vignette,correct_answer_number,option_1,option_2,option_3,option_4,condition,inference_level
05.1.0.0.b__c5,05.1.0.0.b,5,hide_the_item,hide_the_item,physical_knowledge_materials|physical_knowledge_containers,agent_intended_action_on_object|object_name|object_current_relative_location,1.0,intervention,forward," You are a thief, and have just stolen a diamond necklace from a shop in Melbourne. You heard that Larry, your partner, will soon arrive at your place. You want to display the diamond necklace so that Larry can see it when they arrive. 'I need to put the diamond necklace in the location that will be most visible when Larry enters the room,' you thought. You look around the room and see a lidded wicker basket directly in front of the entrance and a worktop with no drawers or shelves tucked away in the corner of the room. 

Where should you place the stolen item?
1. Inside the worktop
2. On top of the worktop
3. On top of the lidded wicker basket
4. Inside the lidded wicker basket
",3,Inside the worktop,On top of the worktop,On top of the lidded wicker basket,Inside the lidded wicker basket,A,0
05.1.0.0.b__c6,05.1.0.0.b,6,hide_the_item,hide_the_item,physical_knowledge_materials|physical_knowledge_containers,agent_intended_action_on_object|object_name|object_current_relative_location,1.0,intervention,forward," You are a thief, and have just stolen a bottle of perfume from a shop in Belo Horizonte. You heard that Gizem, your partner, will soon arrive at your place. You want to display the bottle of perfume so that Gizem can see it when they arrive. You look around the room and see a wooden media cabinet directly in front of the entrance and a worktop with no drawers or shelves tucked away in the corner of the room. 

Where should you place the stolen item?
1. Inside the wooden media cabinet
2. On top of the worktop
3. On top of the wooden media cabinet
4. Inside the worktop
",3,Inside the wooden media cabinet,On top of the worktop,On top of the wooden media cabinet,Inside the worktop,A,2
03.1.0.0.a__c1,03.1.0.0.a,1,object_drop,object_drop,physical_knowledge_gravity|physical_knowledge_materials,object_material,0.0,intervention,backward," One day, Nigel was building IKEA furniture with you and Marta in the entrance hall. Nigel showed you the mug that they had been given for their birthday. It was the first time either you or Marta had seen the mug. You picked up the mug to look at it more closely. Then, you accidentally dropped the mug on the concrete floor. 

What happened next?
1. It is likely that the mug was broken or damaged.
2. It is likely that neither the mug nor the concrete floor were broken or damaged.
3. It is likely that both the mug and the concrete floor were broken or damaged.
4. It is likely that the concrete floor was broken or damaged.
",1,It is likely that the mug was broken or damaged.,It is likely that neither the mug nor the concrete floor were broken or damaged.,It is likely that both the mug and the concrete floor were broken or damaged.,It is likely that the concrete floor was broken or damaged.,B,2
03.1.0.0.a__c2,03.1.0.0.a,2,object_drop,object_drop,physical_knowledge_gravity|physical_knowledge_materials,object_material,0.0,intervention,backward," One day, Menna was talking about the day with you and Yavuz in the dining room. Menna showed you the china teacup that they had been given for their birthday. It was the first time either you or Yavuz had seen the china teacup. You picked up the china teacup to look at it more closely. 'I must remember to go and buy a new bottle of port,' you thought. Then, you accidentally dropped the china teacup on the concrete floor. 

What happened next?
1. It is likely that the china teacup was broken or damaged.
2. It is likely that both the china teacup and the concrete floor were broken or damaged.
3. It is likely that the concrete floor was broken or damaged.
4. It is likely that neither the china teacup nor the concrete floor were broken or damaged.
",1,It is likely that the china teacup was broken or damaged.,It is likely that both the china teacup and the concrete floor were broken or damaged.,It is likely that the concrete floor was broken or damaged.,It is likely that neither the china teacup nor the concrete floor were broken or damaged.,B,3
03.1.0.0.a__c3,03.1.0.0.a,3,object_drop,object_drop,physical_knowledge_gravity|physical_knowledge_materials,object_material,0.0,intervention,backward," One day, Flor was chilling with you and Mary in the conservatory. Flor showed you the vase that they had been given for their birthday. It was the first time either you or Mary had seen the vase. You picked up the vase to look at it more closely. The vase was very fragile, and seemed like it would break if it hit something hard. Then, you gently placed the vase on the table. 

What happened next?
1. It is likely that neither the vase nor the table were broken or damaged.
2. It is likely that both the vase and the table were broken or damaged.
3. It is likely that the vase was broken or damaged.
4. It is likely that the table was broken or damaged.
",1,It is likely that neither the vase nor the table were broken or damaged.,It is likely that both the vase and the table were broken or damaged.,It is likely that the vase was broken or damaged.,It is likely that the table was broken or damaged.,A,0
03.1.0.0.a__c4,03.1.0.0.a,4,object_drop,object_drop,physical_knowledge_gravity|physical_knowledge_materials,object_material,0.0,intervention,backward," One day, Metin was playing cards with you and Shahid in the hallway. Metin showed you the china teacup that they had been given for their birthday. It was the first time either you or Shahid had seen the china teacup. You picked up the china teacup to look at it more closely. Then, you gently placed the china teacup on the table. 

What happened next?
1. It is likely that the china teacup was broken or damaged.
2. It is likely that neither the china teacup nor the table were broken or damaged.
3. It is likely that the table was broken or damaged.
4. It is likely that both the china teacup and the table were broken or damaged.
",2,It is likely that the china teacup was broken or damaged.,It is likely that neither the china teacup nor the table were broken or damaged.,It is likely that the table was broken or damaged.,It is likely that both the china teacup and the table were broken or damaged.,A,2
03.1.0.0.a__c5,03.1.0.0.a,5,object_drop,object_drop,physical_knowledge_gravity|physical_knowledge_materials,object_material,0.0,intervention,backward," One day, Jessica was eating snacks with you and Aditya in the sitting room. Jessica showed you the espresso mug that they had been given for their birthday. It was the first time either you or Aditya had seen the espresso mug. You picked up the espresso mug to look at it more closely. 'I must remember to go and buy a new sack of potatoes,' you thought. Then, you gently placed the espresso mug on the table. 

What happened next?
1. It is likely that neither the espresso mug nor the table were broken or damaged.
2. It is likely that both the espresso mug and the table were broken or damaged.
3. It is likely that the espresso mug was broken or damaged.
4. It is likely that the table was broken or damaged.
",1,It is likely that neither the espresso mug nor the table were broken or damaged.,It is likely that both the espresso mug and the table were broken or damaged.,It is likely that the espresso mug was broken or damaged.,It is likely that the table was broken or damaged.,A,3
03.1.0.0.a__c6,03.1.0.0.a,6,object_drop,object_drop,physical_knowledge_gravity|physical_knowledge_materials,object_material,0.0,intervention,backward," One day, Sachin was discussing religion with you and Alyssa in the office. Sachin showed you the whiskey glass that they had been given for their birthday. It was the first time either you or Alyssa had seen the whiskey glass. You picked up the whiskey glass to look at it more closely. The whiskey glass was very fragile, and seemed like it would break if it hit something hard. Then, you accidentally dropped the whiskey glass on the concrete floor. 

What happened next?
1. It is likely that the whiskey glass was broken or damaged.
2. It is likely that neither the whiskey glass nor the concrete floor were broken or damaged.
3. It is likely that both the whiskey glass and the concrete floor were broken or damaged.
4. It is likely that the concrete floor was broken or damaged.
",1,It is likely that the whiskey glass was broken or damaged.,It is likely that neither the whiskey glass nor the concrete floor were broken or damaged.,It is likely that both the whiskey glass and the concrete floor were broken or damaged.,It is likely that the concrete floor was broken or damaged.,B,0
03.1.0.0.b__c1,03.1.0.0.b,1,object_drop,object_drop,physical_knowledge_gravity|physical_knowledge_materials,object_material,0.0,intervention,backward," One day, Sharon was watching the news with you and Manoj in the conservatory. Sharon showed you the games console that they had inherited from their grandparent Fernanda. It was the first time either you or Manoj had seen the games console. You picked up the games console to look at it more closely. Then, you accidentally dropped the games console on the concrete floor. 

What happened next?
1. It is likely that neither the games console nor the concrete floor were broken or damaged.
2. It is likely that the concrete floor was broken or damaged.
3. It is likely that both the games console and the concrete floor were broken or damaged.
4. It is likely that the games console was broken or damaged.
",4,It is likely that neither the games console nor the concrete floor were broken or damaged.,It is likely that the concrete floor was broken or damaged.,It is likely that both the games console and the concrete floor were broken or damaged.,It is likely that the games console was broken or damaged.,B,2
03.1.0.0.b__c2,03.1.0.0.b,2,object_drop,object_drop,physical_knowledge_gravity|physical_knowledge_materials,object_material,0.0,intervention,backward," One day, Sandra was eating junk food with you and Darren in the bedroom. Sandra showed you the xbox that they had inherited from their grandparent Tiago. It was the first time either you or Darren had seen the xbox. You picked up the xbox to look at it more closely. 'I must remember to go to order a new piece of cheese,' you thought. Then, you accidentally dropped the xbox on the concrete floor. 

What happened next?
1. It is likely that the concrete floor was broken or damaged.
2. It is likely that neither the xbox nor the concrete floor were broken or damaged.
3. It is likely that both the xbox and the concrete floor were broken or damaged.
4. It is likely that the xbox was broken or damaged.
",4,It is likely that the concrete floor was broken or damaged.,It is likely that neither the xbox nor the concrete floor were broken or damaged.,It is likely that both the xbox and the concrete floor were broken or damaged.,It is likely that the xbox was broken or damaged.,B,3
03.1.0.0.b__c3,03.1.0.0.b,3,object_drop,object_drop,physical_knowledge_gravity|physical_knowledge_materials,object_material,0.0,intervention,backward," One day, Michel was sweeping the floor with you and Usman in the basement. Michel showed you the playstation that they had inherited from their grandparent Charlotte. It was the first time either you or Usman had seen the playstation. You picked up the playstation to look at it more closely. The playstation was very fragile, and seemed like it would break if it hit something hard. Then, you gently placed the playstation on the table. 

What happened next?
1. It is likely that both the playstation and the table were broken or damaged.
2. It is likely that the playstation was broken or damaged.
3. It is likely that neither the playstation nor the table were broken or damaged.
4. It is likely that the table was broken or damaged.
",3,It is likely that both the playstation and the table were broken or damaged.,It is likely that the playstation was broken or damaged.,It is likely that neither the playstation nor the table were broken or damaged.,It is likely that the table was broken or damaged.,A,0
03.1.0.0.b__c4,03.1.0.0.b,4,object_drop,object_drop,physical_knowledge_gravity|physical_knowledge_materials,object_material,0.0,intervention,backward," One day, Marc was cooking breakfast with you and Caroline in the gallery. Marc showed you the kindle that they had inherited from their grandparent Cindy. It was the first time either you or Caroline had seen the kindle. You picked up the kindle to look at it more closely. Then, you gently placed the kindle on the table. 

What happened next?
1. It is likely that the table was broken or damaged.
2. It is likely that neither the kindle nor the table were broken or damaged.
3. It is likely that the kindle was broken or damaged.
4. It is likely that both the kindle and the table were broken or damaged.
",2,It is likely that the table was broken or damaged.,It is likely that neither the kindle nor the table were broken or damaged.,It is likely that the kindle was broken or damaged.,It is likely that both the kindle and the table were broken or damaged.,A,2
03.1.0.0.b__c5,03.1.0.0.b,5,object_drop,object_drop,physical_knowledge_gravity|physical_knowledge_materials,object_material,0.0,intervention,backward," One day, Hasan was writing a shopping list with you and Paul in the second bedroom. Hasan showed you the vase that they had inherited from their grandparent Johannes. It was the first time either you or Paul had seen the vase. You picked up the vase to look at it more closely. 'I must remember to go to order a new bunch of carrots,' you thought. Then, you gently placed the vase on the table. 

What happened next?
1. It is likely that neither the vase nor the table were broken or damaged.
2. It is likely that the vase was broken or damaged.
3. It is likely that both the vase and the table were broken or damaged.
4. It is likely that the table was broken or damaged.
",1,It is likely that neither the vase nor the table were broken or damaged.,It is likely that the vase was broken or damaged.,It is likely that both the vase and the table were broken or damaged.,It is likely that the table was broken or damaged.,A,3
03.1.0.0.b__c6,03.1.0.0.b,6,object_drop,object_drop,physical_knowledge_gravity|physical_knowledge_materials,object_material,0.0,intervention,backward," One day, Ed was playing xbox with you and Arun in the second bedroom. Ed showed you the vase that they had inherited from their grandparent Tarun. It was the first time either you or Arun had seen the vase. You picked up the vase to look at it more closely. The vase was very fragile, and seemed like it would break if it hit something hard. Then, you accidentally dropped the vase on the concrete floor. 

What happened next?
1. It is likely that neither the vase nor the concrete floor were broken or damaged.
2. It is likely that both the vase and the concrete floor were broken or damaged.
3. It is likely that the concrete floor was broken or damaged.
4. It is likely that the vase was broken or damaged.
",4,It is likely that neither the vase nor the concrete floor were broken or damaged.,It is likely that both the vase and the concrete floor were broken or damaged.,It is likely that the concrete floor was broken or damaged.,It is likely that the vase was broken or damaged.,B,0
12.1.0.0.a__c1,12.1.0.0.a,1,ouch_that_hurt,ouch_that_hurt,physical_knowledge_materials|physical_knowledge_human_anatomy,agent_action_sequence|object_contact|object_name,1.0,intervention,backward," You were walking around your home in New York trying on your new pair of Doc Martins. Your co-worker Christina was sitting on a wooden bench in the office, and you were telling them that later you will be spending some time practicing the piano with Nancy. As you were walking across the marble floor, you stepped on a wine glass that Christina had left there. 

What would your most likely response be?
1. 'Oww! That really hurt! I've just stepped next to your wine glass.'
2. 'Oww! That really hurt! I've just stepped on your wine glass.'
3. 'Oops! I've just stepped on your wine glass.'
4. 'Oops! I've just stepped on your marble floor.'
",3,'Oww! That really hurt! I've just stepped next to your wine glass.','Oww! That really hurt! I've just stepped on your wine glass.','Oops! I've just stepped on your wine glass.','Oops! I've just stepped on your marble floor.',A,2
12.1.0.0.a__c2,12.1.0.0.a,2,ouch_that_hurt,ouch_that_hurt,physical_knowledge_materials|physical_knowledge_human_anatomy,agent_action_sequence|object_contact|object_name,1.0,intervention,backward," You were walking around your home in Chennai trying on your new pair of builder's work boots. 'I really could use a new pair of high-heeled shoes,' you thought. Your classmate Katherine was sitting on a settee in the entrance hall, and you were telling them that later you will be spending some time cleaning the house with Vitoria. As you were walking across the concrete floor, you stepped on a small glass statue that Katherine had left there. 

What would your most likely response be?
1. 'Oww! That really hurt! I've just stepped next to your small glass statue.'
2. 'Oww! That really hurt! I've just stepped on your small glass statue.'
3. 'Oops! I've just stepped on your concrete floor.'
4. 'Oops! I've just stepped on your small glass statue.'
",4,'Oww! That really hurt! I've just stepped next to your small glass statue.','Oww! That really hurt! I've just stepped on your small glass statue.','Oops! I've just stepped on your concrete floor.','Oops! I've just stepped on your small glass statue.',A,3
12.1.0.0.a__c3,12.1.0.0.a,3,ouch_that_hurt,ouch_that_hurt,physical_knowledge_materials|physical_knowledge_human_anatomy,agent_action_sequence|object_contact|object_name,1.0,intervention,backward," You were walking barefoot around your home in Fes. 'I should put some shoes on to protect my feet,' you thought. Your cook Dean was sitting on a glass and metal coffee table in the home office, and you were telling them that later you will be spending some time discussing work with Rajesh. As you were walking across the marble floor, you stepped on a fireplace poker that Dean had left there. 

What would your most likely response be?
1. 'Oops! I've just stepped on your fireplace poker.'
2. 'Oops! I've just stepped on your marble floor.'
3. 'Oww! That really hurt! I've just stepped next to your fireplace poker.'
4. 'Oww! That really hurt! I've just stepped on your fireplace poker.'
",4,'Oops! I've just stepped on your fireplace poker.','Oops! I've just stepped on your marble floor.','Oww! That really hurt! I've just stepped next to your fireplace poker.','Oww! That really hurt! I've just stepped on your fireplace poker.',B,0
12.1.0.0.a__c4,12.1.0.0.a,4,ouch_that_hurt,ouch_that_hurt,physical_knowledge_materials|physical_knowledge_human_anatomy,agent_action_sequence|object_contact|object_name,1.0,intervention,backward," You were walking barefoot around your home in Chongqing. Your mate Leah was sitting on a dressing table in the sitting room, and you were telling them that later you will be spending some time swimming with Karan. As you were walking across the carpet, you stepped on a cheese knife that Leah had left there. 

What would your most likely response be?
1. 'Oww! That really hurt! I've just stepped next to your cheese knife.'
2. 'Oops! I've just stepped on your cheese knife.'
3. 'Oops! I've just stepped on your carpet.'
4. 'Oww! That really hurt! I've just stepped on your cheese knife.'
",4,'Oww! That really hurt! I've just stepped next to your cheese knife.','Oops! I've just stepped on your cheese knife.','Oops! I've just stepped on your carpet.','Oww! That really hurt! I've just stepped on your cheese knife.',B,2
12.1.0.0.a__c5,12.1.0.0.a,5,ouch_that_hurt,ouch_that_hurt,physical_knowledge_materials|physical_knowledge_human_anatomy,agent_action_sequence|object_contact|object_name,1.0,intervention,backward," You were walking barefoot around your home in Jaipur. 'I really could use a new pair of loafers,' you thought. Your assistant Kathy was sitting on a wooden bench in the main room, and you were telling them that later you will be spending some time watching a local talent show with Vinicius. As you were walking across the concrete floor, you stepped on a hammer that Kathy had left there. 

What would your most likely response be?
1. 'Oww! That really hurt! I've just stepped next to your hammer.'
2. 'Oops! I've just stepped on your concrete floor.'
3. 'Oww! That really hurt! I've just stepped on your hammer.'
4. 'Oops! I've just stepped on your hammer.'
",3,'Oww! That really hurt! I've just stepped next to your hammer.','Oops! I've just stepped on your concrete floor.','Oww! That really hurt! I've just stepped on your hammer.','Oops! I've just stepped on your hammer.',B,3
12.1.0.0.a__c6,12.1.0.0.a,6,ouch_that_hurt,ouch_that_hurt,physical_knowledge_materials|physical_knowledge_human_anatomy,agent_action_sequence|object_contact|object_name,1.0,intervention,backward," You were walking around your home in Newcastle trying on your new pair of builder's work boots. 'These boots will protect my feet from sharp objects,' you thought. Your assistant Nitin was sitting on a dining table in the sitting room, and you were telling them that later you will be spending some time watching the news with Firat. As you were walking across the marble floor, you stepped on a shot glass that Nitin had left there. 

What would your most likely response be?
1. 'Oww! That really hurt! I've just stepped on your shot glass.'
2. 'Oww! That really hurt! I've just stepped next to your shot glass.'
3. 'Oops! I've just stepped on your marble floor.'
4. 'Oops! I've just stepped on your shot glass.'
",4,'Oww! That really hurt! I've just stepped on your shot glass.','Oww! That really hurt! I've just stepped next to your shot glass.','Oops! I've just stepped on your marble floor.','Oops! I've just stepped on your shot glass.',A,0
12.1.0.0.b__c1,12.1.0.0.b,1,ouch_that_hurt,ouch_that_hurt,physical_knowledge_materials|physical_knowledge_human_anatomy,agent_action_sequence|object_contact|object_name,1.0,intervention,backward," You were walking on a sandy beach near your home in Burundi wearing a pair of Doc Martins. Your housemate Ron was walking beside you, talking about how later that day they will be running for charity with their friend Enes. As you were walking along the beach, listening to Ron, you stepped on a bouquet of roses that had been left there. 

What would your most likely response be?
1. 'Oops! I've just stepped on that patch of sand.'
2. 'Oww! That really hurt! I've just stepped on that bouquet of roses.'
3. 'Oww! That really hurt! I've just stepped next to that bouquet of roses.'
4. 'Oops! I've just stepped on that bouquet of roses.'
",4,'Oops! I've just stepped on that patch of sand.','Oww! That really hurt! I've just stepped on that bouquet of roses.','Oww! That really hurt! I've just stepped next to that bouquet of roses.','Oops! I've just stepped on that bouquet of roses.',A,2
12.1.0.0.b__c2,12.1.0.0.b,2,ouch_that_hurt,ouch_that_hurt,physical_knowledge_materials|physical_knowledge_human_anatomy,agent_action_sequence|object_contact|object_name,1.0,intervention,backward," You were walking on a sandy beach near your home in Equatorial Guinea wearing a pair of thick-soled hiking boots. 'I really could use a new pair of trainers,' you thought. Your associate Kamran was walking beside you, talking about how later that day they will be washing the car with their friend Kieran. As you were walking along the beach, listening to Kamran, you stepped on a wine glass that had been left there. 

What would your most likely response be?
1. 'Oww! That really hurt! I've just stepped on that wine glass.'
2. 'Oww! That really hurt! I've just stepped next to that wine glass.'
3. 'Oops! I've just stepped on that patch of sand.'
4. 'Oops! I've just stepped on that wine glass.'
",4,'Oww! That really hurt! I've just stepped on that wine glass.','Oww! That really hurt! I've just stepped next to that wine glass.','Oops! I've just stepped on that patch of sand.','Oops! I've just stepped on that wine glass.',A,3
12.1.0.0.b__c3,12.1.0.0.b,3,ouch_that_hurt,ouch_that_hurt,physical_knowledge_materials|physical_knowledge_human_anatomy,agent_action_sequence|object_contact|object_name,1.0,intervention,backward," You were walking barefoot on a sandy beach near your home in Israel. 'I should put some shoes on to protect my feet,' you thought. Your pal Dawn was walking beside you, talking about how later that day they will be watching a film with their friend Drew. As you were walking along the beach, listening to Dawn, you stepped on a metal ash tray that had been left there. 

What would your most likely response be?
1. 'Oops! I've just stepped on that metal ash tray.'
2. 'Oops! I've just stepped on that patch of sand.'
3. 'Oww! That really hurt! I've just stepped next to that metal ash tray.'
4. 'Oww! That really hurt! I've just stepped on that metal ash tray.'
",4,'Oops! I've just stepped on that metal ash tray.','Oops! I've just stepped on that patch of sand.','Oww! That really hurt! I've just stepped next to that metal ash tray.','Oww! That really hurt! I've just stepped on that metal ash tray.',B,0
12.1.0.0.b__c4,12.1.0.0.b,4,ouch_that_hurt,ouch_that_hurt,physical_knowledge_materials|physical_knowledge_human_anatomy,agent_action_sequence|object_contact|object_name,1.0,intervention,backward," You were walking barefoot on a sandy beach near your home in Serbia. Your pal Arjan was walking beside you, talking about how later that day they will be listening to the radio with their friend Anthony. As you were walking along the beach, listening to Arjan, you stepped on a claw hammer that had been left there. 

What would your most likely response be?
1. 'Oww! That really hurt! I've just stepped on that claw hammer.'
2. 'Oops! I've just stepped on that patch of sand.'
3. 'Oww! That really hurt! I've just stepped next to that claw hammer.'
4. 'Oops! I've just stepped on that claw hammer.'
",1,'Oww! That really hurt! I've just stepped on that claw hammer.','Oops! I've just stepped on that patch of sand.','Oww! That really hurt! I've just stepped next to that claw hammer.','Oops! I've just stepped on that claw hammer.',B,2
12.1.0.0.b__c5,12.1.0.0.b,5,ouch_that_hurt,ouch_that_hurt,physical_knowledge_materials|physical_knowledge_human_anatomy,agent_action_sequence|object_contact|object_name,1.0,intervention,backward," You were walking barefoot on a sandy beach near your home in Equatorial Guinea. 'I really could use a new pair of shoes,' you thought. Your line manager Dominique was walking beside you, talking about how later that day they will be washing the dishes with their friend Raffaele. As you were walking along the beach, listening to Dominique, you stepped on a nail that had been left there. 

What would your most likely response be?
1. 'Oww! That really hurt! I've just stepped next to that nail.'
2. 'Oops! I've just stepped on that nail.'
3. 'Oops! I've just stepped on that patch of sand.'
4. 'Oww! That really hurt! I've just stepped on that nail.'
",4,'Oww! That really hurt! I've just stepped next to that nail.','Oops! I've just stepped on that nail.','Oops! I've just stepped on that patch of sand.','Oww! That really hurt! I've just stepped on that nail.',B,3
