model,item_instance_id,template_id,counterbalance,raw_prediction,parsed_prediction,parse_failed,correct_answer_number,model_correct,condition,base_context,physical_subcategory,required_components,provided_components,novelty,causal_type,causal_direction,vignette,option_1,option_2,option_3,option_4,condition_benchmark,inference_level,human_attempts_total,human_participants,valid_attempts,human_accuracy,median_rt_ms_all_valid,mean_rt_ms_all_valid,median_rt_ms_correct_valid,human_median_seconds_all_valid,human_median_seconds_correct_valid,time_bin
gpt-4.1,05.1.0.0.b__c5,05.1.0.0.b,5,3,3,0,3,1,no_cot,hide_the_item,hide_the_item,physical_knowledge_materials|physical_knowledge_containers,agent_intended_action_on_object|object_name|object_current_relative_location,1.0,intervention,forward," You are a thief, and have just stolen a diamond necklace from a shop in Melbourne. You heard that Larry, your partner, will soon arrive at your place. You want to display the diamond necklace so that Larry can see it when they arrive. 'I need to put the diamond necklace in the location that will be most visible when Larry enters the room,' you thought. You look around the room and see a lidded wicker basket directly in front of the entrance and a worktop with no drawers or shelves tucked away in the corner of the room. 

Where should you place the stolen item?
1. Inside the worktop
2. On top of the worktop
3. On top of the lidded wicker basket
4. Inside the lidded wicker basket
",Inside the worktop,On top of the worktop,On top of the lidded wicker basket,Inside the lidded wicker basket,A,0,10,9,10,1.0,36875.8,41434.95,44246.6,36.875800000000005,44.2466,4
gpt-4.1,05.1.0.0.b__c6,05.1.0.0.b,6,3,3,0,3,1,no_cot,hide_the_item,hide_the_item,physical_knowledge_materials|physical_knowledge_containers,agent_intended_action_on_object|object_name|object_current_relative_location,1.0,intervention,forward," You are a thief, and have just stolen a bottle of perfume from a shop in Belo Horizonte. You heard that Gizem, your partner, will soon arrive at your place. You want to display the bottle of perfume so that Gizem can see it when they arrive. You look around the room and see a wooden media cabinet directly in front of the entrance and a worktop with no drawers or shelves tucked away in the corner of the room. 

Where should you place the stolen item?
1. Inside the wooden media cabinet
2. On top of the worktop
3. On top of the wooden media cabinet
4. Inside the worktop
",Inside the wooden media cabinet,On top of the worktop,On top of the wooden media cabinet,Inside the worktop,A,2,10,9,9,1.0,28566.5,31713.73333333333,26243.3,28.5665,26.243299999999998,3
gpt-4.1,03.1.0.0.a__c1,03.1.0.0.a,1,1,1,0,1,1,no_cot,object_drop,object_drop,physical_knowledge_gravity|physical_knowledge_materials,object_material,0.0,intervention,backward," One day, Nigel was building IKEA furniture with you and Marta in the entrance hall. Nigel showed you the mug that they had been given for their birthday. It was the first time either you or Marta had seen the mug. You picked up the mug to look at it more closely. Then, you accidentally dropped the mug on the concrete floor. 

What happened next?
1. It is likely that the mug was broken or damaged.
2. It is likely that neither the mug nor the concrete floor were broken or damaged.
3. It is likely that both the mug and the concrete floor were broken or damaged.
4. It is likely that the concrete floor was broken or damaged.
",It is likely that the mug was broken or damaged.,It is likely that neither the mug nor the concrete floor were broken or damaged.,It is likely that both the mug and the concrete floor were broken or damaged.,It is likely that the concrete floor was broken or damaged.,B,2,10,9,10,1.0,23528.35,24042.31,23528.35,23.52835,23.52835,2
gpt-4.1,03.1.0.0.a__c2,03.1.0.0.a,2,1,1,0,1,1,no_cot,object_drop,object_drop,physical_knowledge_gravity|physical_knowledge_materials,object_material,0.0,intervention,backward," One day, Menna was talking about the day with you and Yavuz in the dining room. Menna showed you the china teacup that they had been given for their birthday. It was the first time either you or Yavuz had seen the china teacup. You picked up the china teacup to look at it more closely. 'I must remember to go and buy a new bottle of port,' you thought. Then, you accidentally dropped the china teacup on the concrete floor. 

What happened next?
1. It is likely that the china teacup was broken or damaged.
2. It is likely that both the china teacup and the concrete floor were broken or damaged.
3. It is likely that the concrete floor was broken or damaged.
4. It is likely that neither the china teacup nor the concrete floor were broken or damaged.
",It is likely that the china teacup was broken or damaged.,It is likely that both the china teacup and the concrete floor were broken or damaged.,It is likely that the concrete floor was broken or damaged.,It is likely that neither the china teacup nor the concrete floor were broken or damaged.,B,3,10,9,10,1.0,26790.1345,25489.822900000003,26790.1345,26.7901345,26.7901345,3
gpt-4.1,03.1.0.0.a__c3,03.1.0.0.a,3,1,1,0,1,1,no_cot,object_drop,object_drop,physical_knowledge_gravity|physical_knowledge_materials,object_material,0.0,intervention,backward," One day, Flor was chilling with you and Mary in the conservatory. Flor showed you the vase that they had been given for their birthday. It was the first time either you or Mary had seen the vase. You picked up the vase to look at it more closely. The vase was very fragile, and seemed like it would break if it hit something hard. Then, you gently placed the vase on the table. 

What happened next?
1. It is likely that neither the vase nor the table were broken or damaged.
2. It is likely that both the vase and the table were broken or damaged.
3. It is likely that the vase was broken or damaged.
4. It is likely that the table was broken or damaged.
",It is likely that neither the vase nor the table were broken or damaged.,It is likely that both the vase and the table were broken or damaged.,It is likely that the vase was broken or damaged.,It is likely that the table was broken or damaged.,A,0,8,8,8,1.0,21860.4,29280.0875,21860.4,21.860400000000002,21.860400000000002,1
gpt-4.1,03.1.0.0.a__c4,03.1.0.0.a,4,2,2,0,2,1,no_cot,object_drop,object_drop,physical_knowledge_gravity|physical_knowledge_materials,object_material,0.0,intervention,backward," One day, Metin was playing cards with you and Shahid in the hallway. Metin showed you the china teacup that they had been given for their birthday. It was the first time either you or Shahid had seen the china teacup. You picked up the china teacup to look at it more closely. Then, you gently placed the china teacup on the table. 

What happened next?
1. It is likely that the china teacup was broken or damaged.
2. It is likely that neither the china teacup nor the table were broken or damaged.
3. It is likely that the table was broken or damaged.
4. It is likely that both the china teacup and the table were broken or damaged.
",It is likely that the china teacup was broken or damaged.,It is likely that neither the china teacup nor the table were broken or damaged.,It is likely that the table was broken or damaged.,It is likely that both the china teacup and the table were broken or damaged.,A,2,10,9,10,1.0,18729.25,22404.51,18729.25,18.72925,18.72925,1
gpt-4.1,03.1.0.0.a__c5,03.1.0.0.a,5,1,1,0,1,1,no_cot,object_drop,object_drop,physical_knowledge_gravity|physical_knowledge_materials,object_material,0.0,intervention,backward," One day, Jessica was eating snacks with you and Aditya in the sitting room. Jessica showed you the espresso mug that they had been given for their birthday. It was the first time either you or Aditya had seen the espresso mug. You picked up the espresso mug to look at it more closely. 'I must remember to go and buy a new sack of potatoes,' you thought. Then, you gently placed the espresso mug on the table. 

What happened next?
1. It is likely that neither the espresso mug nor the table were broken or damaged.
2. It is likely that both the espresso mug and the table were broken or damaged.
3. It is likely that the espresso mug was broken or damaged.
4. It is likely that the table was broken or damaged.
",It is likely that neither the espresso mug nor the table were broken or damaged.,It is likely that both the espresso mug and the table were broken or damaged.,It is likely that the espresso mug was broken or damaged.,It is likely that the table was broken or damaged.,A,3,10,9,9,1.0,22223.8,24385.133333333335,23958.35,22.2238,23.95835,1
gpt-4.1,03.1.0.0.a__c6,03.1.0.0.a,6,1,1,0,1,1,no_cot,object_drop,object_drop,physical_knowledge_gravity|physical_knowledge_materials,object_material,0.0,intervention,backward," One day, Sachin was discussing religion with you and Alyssa in the office. Sachin showed you the whiskey glass that they had been given for their birthday. It was the first time either you or Alyssa had seen the whiskey glass. You picked up the whiskey glass to look at it more closely. The whiskey glass was very fragile, and seemed like it would break if it hit something hard. Then, you accidentally dropped the whiskey glass on the concrete floor. 

What happened next?
1. It is likely that the whiskey glass was broken or damaged.
2. It is likely that neither the whiskey glass nor the concrete floor were broken or damaged.
3. It is likely that both the whiskey glass and the concrete floor were broken or damaged.
4. It is likely that the concrete floor was broken or damaged.
",It is likely that the whiskey glass was broken or damaged.,It is likely that neither the whiskey glass nor the concrete floor were broken or damaged.,It is likely that both the whiskey glass and the concrete floor were broken or damaged.,It is likely that the concrete floor was broken or damaged.,B,0,10,9,10,1.0,23962.45,29488.620000000003,23962.45,23.96245,23.96245,2
gpt-4.1,03.1.0.0.b__c1,03.1.0.0.b,1,4,4,0,4,1,no_cot,object_drop,object_drop,physical_knowledge_gravity|physical_knowledge_materials,object_material,0.0,intervention,backward," One day, Sharon was watching the news with you and Manoj in the conservatory. Sharon showed you the games console that they had inherited from their grandparent Fernanda. It was the first time either you or Manoj had seen the games console. You picked up the games console to look at it more closely. Then, you accidentally dropped the games console on the concrete floor. 

What happened next?
1. It is likely that neither the games console nor the concrete floor were broken or damaged.
2. It is likely that the concrete floor was broken or damaged.
3. It is likely that both the games console and the concrete floor were broken or damaged.
4. It is likely that the games console was broken or damaged.
",It is likely that neither the games console nor the concrete floor were broken or damaged.,It is likely that the concrete floor was broken or damaged.,It is likely that both the games console and the concrete floor were broken or damaged.,It is likely that the games console was broken or damaged.,B,2,10,9,10,1.0,27214.2,30633.090000000004,27214.2,27.2142,27.2142,3
gpt-4.1,03.1.0.0.b__c2,03.1.0.0.b,2,4,4,0,4,1,no_cot,object_drop,object_drop,physical_knowledge_gravity|physical_knowledge_materials,object_material,0.0,intervention,backward," One day, Sandra was eating junk food with you and Darren in the bedroom. Sandra showed you the xbox that they had inherited from their grandparent Tiago. It was the first time either you or Darren had seen the xbox. You picked up the xbox to look at it more closely. 'I must remember to go to order a new piece of cheese,' you thought. Then, you accidentally dropped the xbox on the concrete floor. 

What happened next?
1. It is likely that the concrete floor was broken or damaged.
2. It is likely that neither the xbox nor the concrete floor were broken or damaged.
3. It is likely that both the xbox and the concrete floor were broken or damaged.
4. It is likely that the xbox was broken or damaged.
",It is likely that the concrete floor was broken or damaged.,It is likely that neither the xbox nor the concrete floor were broken or damaged.,It is likely that both the xbox and the concrete floor were broken or damaged.,It is likely that the xbox was broken or damaged.,B,3,10,9,10,0.9,29667.6,27120.2259,27787.5,29.6676,27.7875,3
gpt-4.1,03.1.0.0.b__c3,03.1.0.0.b,3,3,3,0,3,1,no_cot,object_drop,object_drop,physical_knowledge_gravity|physical_knowledge_materials,object_material,0.0,intervention,backward," One day, Michel was sweeping the floor with you and Usman in the basement. Michel showed you the playstation that they had inherited from their grandparent Charlotte. It was the first time either you or Usman had seen the playstation. You picked up the playstation to look at it more closely. The playstation was very fragile, and seemed like it would break if it hit something hard. Then, you gently placed the playstation on the table. 

What happened next?
1. It is likely that both the playstation and the table were broken or damaged.
2. It is likely that the playstation was broken or damaged.
3. It is likely that neither the playstation nor the table were broken or damaged.
4. It is likely that the table was broken or damaged.
",It is likely that both the playstation and the table were broken or damaged.,It is likely that the playstation was broken or damaged.,It is likely that neither the playstation nor the table were broken or damaged.,It is likely that the table was broken or damaged.,A,0,8,8,8,1.0,26843.0,29959.074999999997,29497.6,26.843,29.4976,3
gpt-4.1,03.1.0.0.b__c4,03.1.0.0.b,4,2,2,0,2,1,no_cot,object_drop,object_drop,physical_knowledge_gravity|physical_knowledge_materials,object_material,0.0,intervention,backward," One day, Marc was cooking breakfast with you and Caroline in the gallery. Marc showed you the kindle that they had inherited from their grandparent Cindy. It was the first time either you or Caroline had seen the kindle. You picked up the kindle to look at it more closely. Then, you gently placed the kindle on the table. 

What happened next?
1. It is likely that the table was broken or damaged.
2. It is likely that neither the kindle nor the table were broken or damaged.
3. It is likely that the kindle was broken or damaged.
4. It is likely that both the kindle and the table were broken or damaged.
",It is likely that the table was broken or damaged.,It is likely that neither the kindle nor the table were broken or damaged.,It is likely that the kindle was broken or damaged.,It is likely that both the kindle and the table were broken or damaged.,A,2,10,9,10,0.9,22512.0,23470.03,22512.0,22.512,22.512,1
gpt-4.1,03.1.0.0.b__c5,03.1.0.0.b,5,1,1,0,1,1,no_cot,object_drop,object_drop,physical_knowledge_gravity|physical_knowledge_materials,object_material,0.0,intervention,backward," One day, Hasan was writing a shopping list with you and Paul in the second bedroom. Hasan showed you the vase that they had inherited from their grandparent Johannes. It was the first time either you or Paul had seen the vase. You picked up the vase to look at it more closely. 'I must remember to go to order a new bunch of carrots,' you thought. Then, you gently placed the vase on the table. 

What happened next?
1. It is likely that neither the vase nor the table were broken or damaged.
2. It is likely that the vase was broken or damaged.
3. It is likely that both the vase and the table were broken or damaged.
4. It is likely that the table was broken or damaged.
",It is likely that neither the vase nor the table were broken or damaged.,It is likely that the vase was broken or damaged.,It is likely that both the vase and the table were broken or damaged.,It is likely that the table was broken or damaged.,A,3,10,9,10,1.0,42836.45,57690.7,42836.45,42.83645,42.83645,4
gpt-4.1,03.1.0.0.b__c6,03.1.0.0.b,6,4,4,0,4,1,no_cot,object_drop,object_drop,physical_knowledge_gravity|physical_knowledge_materials,object_material,0.0,intervention,backward," One day, Ed was playing xbox with you and Arun in the second bedroom. Ed showed you the vase that they had inherited from their grandparent Tarun. It was the first time either you or Arun had seen the vase. You picked up the vase to look at it more closely. The vase was very fragile, and seemed like it would break if it hit something hard. Then, you accidentally dropped the vase on the concrete floor. 

What happened next?
1. It is likely that neither the vase nor the concrete floor were broken or damaged.
2. It is likely that both the vase and the concrete floor were broken or damaged.
3. It is likely that the concrete floor was broken or damaged.
4. It is likely that the vase was broken or damaged.
",It is likely that neither the vase nor the concrete floor were broken or damaged.,It is likely that both the vase and the concrete floor were broken or damaged.,It is likely that the concrete floor was broken or damaged.,It is likely that the vase was broken or damaged.,B,0,10,9,10,1.0,23459.55,27958.590000000004,23459.55,23.45955,23.45955,1
gpt-4.1,12.1.0.0.a__c1,12.1.0.0.a,1,2,2,0,3,0,no_cot,ouch_that_hurt,ouch_that_hurt,physical_knowledge_materials|physical_knowledge_human_anatomy,agent_action_sequence|object_contact|object_name,1.0,intervention,backward," You were walking around your home in New York trying on your new pair of Doc Martins. Your co-worker Christina was sitting on a wooden bench in the office, and you were telling them that later you will be spending some time practicing the piano with Nancy. As you were walking across the marble floor, you stepped on a wine glass that Christina had left there. 

What would your most likely response be?
1. 'Oww! That really hurt! I've just stepped next to your wine glass.'
2. 'Oww! That really hurt! I've just stepped on your wine glass.'
3. 'Oops! I've just stepped on your wine glass.'
4. 'Oops! I've just stepped on your marble floor.'
",'Oww! That really hurt! I've just stepped next to your wine glass.','Oww! That really hurt! I've just stepped on your wine glass.','Oops! I've just stepped on your wine glass.','Oops! I've just stepped on your marble floor.',A,2,10,9,10,0.6667,33685.75,35676.89,32490.8,33.68575,32.4908,4
gpt-4.1,12.1.0.0.a__c2,12.1.0.0.a,2,2,2,0,4,0,no_cot,ouch_that_hurt,ouch_that_hurt,physical_knowledge_materials|physical_knowledge_human_anatomy,agent_action_sequence|object_contact|object_name,1.0,intervention,backward," You were walking around your home in Chennai trying on your new pair of builder's work boots. 'I really could use a new pair of high-heeled shoes,' you thought. Your classmate Katherine was sitting on a settee in the entrance hall, and you were telling them that later you will be spending some time cleaning the house with Vitoria. As you were walking across the concrete floor, you stepped on a small glass statue that Katherine had left there. 

What would your most likely response be?
1. 'Oww! That really hurt! I've just stepped next to your small glass statue.'
2. 'Oww! That really hurt! I've just stepped on your small glass statue.'
3. 'Oops! I've just stepped on your concrete floor.'
4. 'Oops! I've just stepped on your small glass statue.'
",'Oww! That really hurt! I've just stepped next to your small glass statue.','Oww! That really hurt! I've just stepped on your small glass statue.','Oops! I've just stepped on your concrete floor.','Oops! I've just stepped on your small glass statue.',A,3,10,9,10,0.75,30500.4,30818.960100000004,34959.5,30.500400000000003,34.9595,3
gpt-4.1,12.1.0.0.a__c3,12.1.0.0.a,3,4,4,0,4,1,no_cot,ouch_that_hurt,ouch_that_hurt,physical_knowledge_materials|physical_knowledge_human_anatomy,agent_action_sequence|object_contact|object_name,1.0,intervention,backward," You were walking barefoot around your home in Fes. 'I should put some shoes on to protect my feet,' you thought. Your cook Dean was sitting on a glass and metal coffee table in the home office, and you were telling them that later you will be spending some time discussing work with Rajesh. As you were walking across the marble floor, you stepped on a fireplace poker that Dean had left there. 

What would your most likely response be?
1. 'Oops! I've just stepped on your fireplace poker.'
2. 'Oops! I've just stepped on your marble floor.'
3. 'Oww! That really hurt! I've just stepped next to your fireplace poker.'
4. 'Oww! That really hurt! I've just stepped on your fireplace poker.'
",'Oops! I've just stepped on your fireplace poker.','Oops! I've just stepped on your marble floor.','Oww! That really hurt! I've just stepped next to your fireplace poker.','Oww! That really hurt! I've just stepped on your fireplace poker.',B,0,8,8,8,1.0,25652.85,28001.074999999997,23818.6,25.652849999999997,23.8186,2
gpt-4.1,12.1.0.0.a__c4,12.1.0.0.a,4,4,4,0,4,1,no_cot,ouch_that_hurt,ouch_that_hurt,physical_knowledge_materials|physical_knowledge_human_anatomy,agent_action_sequence|object_contact|object_name,1.0,intervention,backward," You were walking barefoot around your home in Chongqing. Your mate Leah was sitting on a dressing table in the sitting room, and you were telling them that later you will be spending some time swimming with Karan. As you were walking across the carpet, you stepped on a cheese knife that Leah had left there. 

What would your most likely response be?
1. 'Oww! That really hurt! I've just stepped next to your cheese knife.'
2. 'Oops! I've just stepped on your cheese knife.'
3. 'Oops! I've just stepped on your carpet.'
4. 'Oww! That really hurt! I've just stepped on your cheese knife.'
",'Oww! That really hurt! I've just stepped next to your cheese knife.','Oops! I've just stepped on your cheese knife.','Oops! I've just stepped on your carpet.','Oww! That really hurt! I've just stepped on your cheese knife.',B,2,10,9,10,1.0,23525.6,71050.87,23525.6,23.525599999999997,23.525599999999997,2
gpt-4.1,12.1.0.0.a__c5,12.1.0.0.a,5,3,3,0,3,1,no_cot,ouch_that_hurt,ouch_that_hurt,physical_knowledge_materials|physical_knowledge_human_anatomy,agent_action_sequence|object_contact|object_name,1.0,intervention,backward," You were walking barefoot around your home in Jaipur. 'I really could use a new pair of loafers,' you thought. Your assistant Kathy was sitting on a wooden bench in the main room, and you were telling them that later you will be spending some time watching a local talent show with Vinicius. As you were walking across the concrete floor, you stepped on a hammer that Kathy had left there. 

What would your most likely response be?
1. 'Oww! That really hurt! I've just stepped next to your hammer.'
2. 'Oops! I've just stepped on your concrete floor.'
3. 'Oww! That really hurt! I've just stepped on your hammer.'
4. 'Oops! I've just stepped on your hammer.'
",'Oww! That really hurt! I've just stepped next to your hammer.','Oops! I've just stepped on your concrete floor.','Oww! That really hurt! I've just stepped on your hammer.','Oops! I've just stepped on your hammer.',B,3,10,9,10,0.8889,29939.800000000003,38874.76,25241.95,29.9398,25.24195,3
gpt-4.1,12.1.0.0.a__c6,12.1.0.0.a,6,1,1,0,4,0,no_cot,ouch_that_hurt,ouch_that_hurt,physical_knowledge_materials|physical_knowledge_human_anatomy,agent_action_sequence|object_contact|object_name,1.0,intervention,backward," You were walking around your home in Newcastle trying on your new pair of builder's work boots. 'These boots will protect my feet from sharp objects,' you thought. Your assistant Nitin was sitting on a dining table in the sitting room, and you were telling them that later you will be spending some time watching the news with Firat. As you were walking across the marble floor, you stepped on a shot glass that Nitin had left there. 

What would your most likely response be?
1. 'Oww! That really hurt! I've just stepped on your shot glass.'
2. 'Oww! That really hurt! I've just stepped next to your shot glass.'
3. 'Oops! I've just stepped on your marble floor.'
4. 'Oops! I've just stepped on your shot glass.'
",'Oww! That really hurt! I've just stepped on your shot glass.','Oww! That really hurt! I've just stepped next to your shot glass.','Oops! I've just stepped on your marble floor.','Oops! I've just stepped on your shot glass.',A,0,10,9,10,0.5556,23803.05,23594.52,24015.0,23.80305,24.015,2
